K,C
2.2711e-14,3.84682e+31
2.27983e-14,3.81012e+31
2.28859e-14,3.77376e+31
2.29738e-14,3.73776e+31
2.30621e-14,3.70209e+31
2.31507e-14,3.66677e+31
2.32396e-14,3.63178e+31
2.33289e-14,3.59713e+31
2.34186e-14,3.56281e+31
2.35086e-14,3.52881e+31
2.35989e-14,3.49514e+31
2.36896e-14,3.46179e+31
2.37806e-14,3.42876e+31
2.3872e-14,3.39604e+31
2.39637e-14,3.36364e+31
2.40558e-14,3.33155e+31
2.41482e-14,3.29976e+31
2.4241e-14,3.26827e+31
2.43341e-14,3.23709e+31
2.44276e-14,3.2062e+31
2.45215e-14,3.17561e+31
2.46157e-14,3.14531e+31
2.47103e-14,3.1153e+31
2.48052e-14,3.08557e+31
2.49005e-14,3.05613e+31
2.49962e-14,3.02697e+31
2.50922e-14,2.99809e+31
2.51887e-14,2.96948e+31
2.52854e-14,2.94115e+31
2.53826e-14,2.91309e+31
2.54801e-14,2.88529e+31
2.5578e-14,2.85776e+31
2.56763e-14,2.83049e+31
2.5775e-14,2.80349e+31
2.5874e-14,2.77674e+31
2.59734e-14,2.75024e+31
2.60732e-14,2.724e+31
2.61734e-14,2.69801e+31
2.6274e-14,2.67227e+31
2.63749e-14,2.64677e+31
2.64762e-14,2.62151e+31
2.6578e-14,2.5965e+31
2.66801e-14,2.57173e+31
2.67826e-14,2.54719e+31
2.68855e-14,2.52288e+31
2.69888e-14,2.49881e+31
2.70925e-14,2.47497e+31
2.71966e-14,2.45135e+31
2.73011e-14,2.42796e+31
2.7406e-14,2.4048e+31
2.75113e-14,2.38185e+31
2.7617e-14,2.35913e+31
2.77231e-14,2.33662e+31
2.78297e-14,2.31432e+31
2.79366e-14,2.29224e+31
2.80439e-14,2.27037e+31
2.81517e-14,2.2487e+31
2.82599e-14,2.22725e+31
2.83684e-14,2.206e+31
2.84774e-14,2.18495e+31
2.85869e-14,2.1641e+31
2.86967e-14,2.14345e+31
2.8807e-14,2.123e+31
2.89176e-14,2.10274e+31
2.90288e-14,2.08268e+31
2.91403e-14,2.06281e+31
2.92523e-14,2.04312e+31
2.93647e-14,2.02363e+31
2.94775e-14,2.00432e+31
2.95907e-14,1.9852e+31
2.97044e-14,1.96626e+31
2.98186e-14,1.94749e+31
2.99331e-14,1.92891e+31
3.00482e-14,1.91051e+31
3.01636e-14,1.89228e+31
3.02795e-14,1.87422e+31
3.03959e-14,1.85634e+31
3.05126e-14,1.83863e+31
3.06299e-14,1.82108e+31
3.07476e-14,1.80371e+31
3.08657e-14,1.7865e+31
3.09843e-14,1.76945e+31
3.11034e-14,1.75257e+31
3.12229e-14,1.73585e+31
3.13428e-14,1.71928e+31
3.14633e-14,1.70288e+31
3.15842e-14,1.68663e+31
3.17055e-14,1.67054e+31
3.18273e-14,1.6546e+31
3.19496e-14,1.63881e+31
3.20724e-14,1.62317e+31
3.21956e-14,1.60769e+31
3.23193e-14,1.59235e+31
3.24435e-14,1.57715e+31
3.25682e-14,1.5621e+31
3.26933e-14,1.5472e+31
3.28189e-14,1.53244e+31
3.2945e-14,1.51781e+31
3.30716e-14,1.50333e+31
3.31987e-14,1.48899e+31
3.33262e-14,1.47478e+31
3.34543e-14,1.46071e+31
3.35828e-14,1.44677e+31
3.37119e-14,1.43297e+31
3.38414e-14,1.41929e+31
3.39714e-14,1.40575e+31
3.4102e-14,1.39234e+31
3.4233e-14,1.37905e+31
3.43645e-14,1.3659e+31
3.44966e-14,1.35286e+31
3.46291e-14,1.33995e+31
3.47622e-14,1.32717e+31
3.48957e-14,1.31451e+31
3.50298e-14,1.30196e+31
3.51644e-14,1.28954e+31
3.52995e-14,1.27724e+31
3.54352e-14,1.26505e+31
3.55713e-14,1.25298e+31
3.5708e-14,1.24102e+31
3.58452e-14,1.22918e+31
3.59829e-14,1.21745e+31
3.61212e-14,1.20584e+31
3.626e-14,1.19433e+31
3.63993e-14,1.18294e+31
3.65391e-14,1.17165e+31
3.66795e-14,1.16047e+31
3.68205e-14,1.1494e+31
3.69619e-14,1.13843e+31
3.7104e-14,1.12757e+31
3.72465e-14,1.11681e+31
3.73896e-14,1.10615e+31
3.75333e-14,1.0956e+31
3.76775e-14,1.08514e+31
3.78223e-14,1.07479e+31
3.79676e-14,1.06454e+31
3.81135e-14,1.05438e+31
3.82599e-14,1.04432e+31
3.84069e-14,1.03435e+31
3.85545e-14,1.02448e+31
3.87027e-14,1.01471e+31
3.88514e-14,1.00503e+31
3.90006e-14,9.95437e+30
3.91505e-14,9.85939e+30
3.93009e-14,9.76532e+30
3.94519e-14,9.67214e+30
3.96035e-14,9.57985e+30
3.97557e-14,9.48845e+30
3.99084e-14,9.39791e+30
4.00618e-14,9.30824e+30
4.02157e-14,9.21943e+30
4.03702e-14,9.13146e+30
4.05253e-14,9.04433e+30
4.06811e-14,8.95803e+30
4.08374e-14,8.87256e+30
4.09943e-14,8.7879e+30
4.11518e-14,8.70405e+30
4.13099e-14,8.621e+30
4.14686e-14,8.53874e+30
4.1628e-14,8.45727e+30
4.17879e-14,8.37657e+30
4.19485e-14,8.29665e+30
4.21097e-14,8.21749e+30
4.22715e-14,8.13908e+30
4.24339e-14,8.06142e+30
4.25969e-14,7.9845e+30
4.27606e-14,7.90832e+30
4.29249e-14,7.83286e+30
4.30898e-14,7.75812e+30
4.32554e-14,7.6841e+30
4.34216e-14,7.61078e+30
4.35884e-14,7.53816e+30
4.37559e-14,7.46623e+30
4.3924e-14,7.39499e+30
4.40928e-14,7.32443e+30
4.42622e-14,7.25455e+30
4.44323e-14,7.18533e+30
4.4603e-14,7.11677e+30
4.47744e-14,7.04886e+30
4.49464e-14,6.9816e+30
4.51191e-14,6.91499e+30
4.52925e-14,6.84901e+30
4.54665e-14,6.78366e+30
4.56412e-14,6.71893e+30
4.58166e-14,6.65482e+30
